data_week,casos_est,casos_est_min,casos_est_max,casos,proba_disse>1,incidência_100khab,disseminação,população,tempmin,umidmax,umidmed,umidmin,tempmed,tempmax,municipio,estado,longitude,latitude
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9911.0,21.0,98.0495466666667,78.4614857142857,55.5736982857143,23.9576165714286,28.2857142857143,Umbuzeiro,PB,-35.6582,-7.69199
2023-01-01,1.0,1.0,1.0,1.0,0.730556,11.936023,2.207831,8378.0,22.1428571428571,100.0,83.8545565714286,60.179396,25.3750002857143,29.8571428571429,Barra De São Miguel,PB,-36.3209,-7.74603
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,16130.0,23.8571428571429,95.90974,85.8633342857143,68.6823111428571,25.7261902857143,29.4285714285714,Urucará,AM,-57.7538,-2.52936
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5920.0,21.0,98.0495466666667,76.7049392857143,52.2857142857143,24.1,28.7142857142857,Nova Olinda,CE,-39.6713,-7.08415
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4175.0,19.4285714285714,83.8382005714286,67.7116305714286,52.4180567142857,23.6670767142857,27.2857142857143,Novo Barreiro,RS,-53.1103,-27.9077
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,6138.0,22.1428571428571,100.0,83.8545565714286,60.179396,25.3750002857143,29.8571428571429,Tanque D'Arca,AL,-36.4366,-9.53379
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1735.0,22.5714285714286,98.3281828571429,84.5658091428571,65.9204768571429,25.6190477142857,29.5714285714286,Crixás Do Tocantins,TO,-48.9152,-11.0994
2023-01-01,1.0,1.0,1.0,1.0,0.9632669,3.1913197,18.521107,31335.0,20.4285714285714,94.41508,79.9674628571429,58.5471398571429,23.3480465714286,28.0,Novo Cruzeiro,MG,-41.8826,-17.4654
2023-01-01,1.0,1.0,1.0,1.0,0.46851066,6.209252,0.91420525,16105.0,25.0,91.2725494285714,81.4517512857143,67.9483695714286,27.0416668571429,29.8571428571429,Barrocas,BA,-39.0776,-11.5272
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17889.0,16.7142857142857,93.0880171428571,77.814343,64.0387637142857,19.8745098571429,23.0,Jacupiranga,SP,-48.0064,-24.6963
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16069.0,22.1428571428571,100.0,83.8545565714286,60.179396,25.3750002857143,29.8571428571429,São Benedito Do Sul,PE,-35.9453,-8.8166
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4087.0,22.5714285714286,98.3281828571429,84.5658091428571,65.9204768571429,25.6190477142857,29.5714285714286,Conceição Do Tocantins,TO,-47.2951,-12.2209
2023-01-01,4.0,4.0,4.0,4.0,0.9926397,11.242587,18.521618,35579.0,20.0,97.4491142857143,85.1741511428571,65.696913,22.7023811428571,27.4285714285714,Cravinhos,SP,-47.7324,-21.338
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8256.0,21.75,95.7142857142857,77.1584792857143,52.8236447142857,23.9578231428571,28.5714285714286,Tuparetama,PE,-37.3165,-7.6003
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11633.0,19.4285714285714,83.8382005714286,67.7116305714286,52.4180567142857,23.6670767142857,27.2857142857143,Nonoai,RS,-52.7756,-27.3689
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5920.0,21.0,98.0495466666667,76.7049392857143,52.2857142857143,24.1,28.7142857142857,Nova Olinda,TO,-48.4252,-7.63171
2023-01-01,3.0,3.0,3.0,3.0,0.91384965,6.8519745,3.955373,43783.0,23.0,97.50438,86.6806507142857,71.9353268571429,25.3690477142857,28.2857142857143,Nova Viçosa,BA,-39.3743,-17.8926
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7266.0,22.0,82.6626128571429,65.5530767142857,52.1105781428571,25.768421,28.8571428571429,Bandeirantes,MS,-54.3585,-19.9275
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10905.0,21.75,98.0495466666667,78.1047141428571,55.9161042857143,24.1488094285714,28.4285714285714,Rio Do Fogo,RN,-35.3794,-5.2765
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,16034.0,25.8571428571429,91.9848044285714,76.53298,59.7326964285714,28.3571425714286,31.7142857142857,Santo Amaro Do Maranhão,MA,-43.238,-2.50068
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6800.0,19.1428571428571,100.0,88.3807742857143,71.2474151428571,21.9731092857143,25.4285714285714,Confins,MG,-43.9931,-19.6282
2023-01-01,52.0,52.0,52.0,52.0,1.0,22.029978,5.182888,236042.0,23.2857142857143,94.24556,78.2562812857143,58.1345272857143,26.4464288571429,30.7142857142857,Rondonópolis,MT,-54.6372,-16.4673
2023-01-01,5.0,5.0,5.0,5.0,0.9628385,26.709402,4.529044,18720.0,21.75,98.0495466666667,77.3468428571429,53.0,23.9788938571429,28.5241,Picuí,PB,-36.3497,-6.50845
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4030.0,23.1428571428571,97.4922742857143,78.6257005714286,56.7611062857143,26.2023811428571,30.7142857142857,Bela Vista Do Piauí,PI,-41.8675,-7.98809
2023-01-01,1.0,1.0,1.0,1.0,0.9632679,38.16794,18.521618,2620.0,17.1428571428571,93.9698111428571,85.5715384285714,72.3013995714286,19.6173471428571,22.5714285714286,Rio Doce,MG,-42.8995,-20.2412
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,12105.0,25.0,91.2725494285714,81.4517512857143,67.9483695714286,27.0416668571429,29.8571428571429,Saubara,BA,-38.7625,-12.7387
2023-01-01,1.0,1.0,1.0,1.0,0.7080426,1.1760141,2.0076618,85033.0,19.4285714285714,94.8517742857143,65.3131172857143,43.3693377142857,25.691729,30.7142857142857,Lajeado,TO,-48.3565,-9.74996
2023-01-01,12.0,12.0,12.0,12.0,0.7543756,18.239855,1.3452642,65790.0,22.1428571428571,100.0,83.8545565714286,60.179396,25.3750002857143,29.8571428571429,União Dos Palmares,AL,-36.0223,-9.15921
2023-01-01,3.0,3.0,3.0,3.0,0.9199431,25.267414,4.178844,11873.0,22.5714285714286,98.3281828571429,84.5658091428571,65.9204768571429,25.6190477142857,29.5714285714286,Peixe,TO,-48.5395,-12.0254
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4807.0,23.6700857142857,76.4379714285714,51.483,31.3702857142857,27.6743857142857,33.3552428571429,Conceição Do Canindé,PI,-41.5942,-7.87638
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16583.0,19.4285714285714,94.8517742857143,65.3131172857143,43.3693377142857,25.691729,30.7142857142857,Cidreira,RS,-50.2337,-30.1604
2023-01-01,1.0,1.0,1.0,1.0,0.81452835,1.4342469,3.3787987,69723.0,21.1428571428571,98.0495466666667,76.8184362857143,52.3740142857143,24.1488094285714,28.7142857142857,Sousa,PB,-38.2311,-6.75148
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41729.0,23.8571428571429,100.0,94.5383278571429,75.6792175714286,26.0952382857143,30.2857142857143,Amarante Do Maranhão,MA,-46.7473,-5.56913
2023-01-01,1.0,1.0,1.0,1.0,0.7080426,1.1760141,2.0076618,85033.0,19.4285714285714,94.8517742857143,65.3131172857143,43.3693377142857,25.691729,30.7142857142857,Lajeado,RS,-51.9644,-29.4591
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4561.0,19.4285714285714,83.8382005714286,67.7116305714286,52.4180567142857,23.6670767142857,27.2857142857143,Riqueza,SC,-53.3265,-27.0653
2023-01-01,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2483.0,24.6666666666667,86.0733746666667,77.4139666666667,68.1818946666667,26.5039686666667,28.3333333333333,Rio Rufino,SC,-49.7754,-27.8592
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5215.0,24.4285714285714,93.4393485714286,81.00066,68.5918125714286,26.8571428571429,29.4285714285714,Divina Pastora,SE,-37.1506,-10.6782
2023-01-01,1.0,1.0,1.0,1.0,0.9632679,12.65983,18.521618,7899.0,21.75,98.0495466666667,77.3468428571429,53.0,23.9788938571429,28.5241,Pedra Lavrada,PB,-36.4758,-6.74997
